IdProducto,IdCategoria,Marca,Observacion,PrecioCompra,PrecioVenta,Nombre,Codigo,Stock,FechaAct,Usuario,UbicStock,StoAnt,Familia
50828,1, , ,0,0,TEROSON PU 9092 300ML URETAN                      ,7891200013548,1000000,,,0,,4
50829,1, , ,0,0,TERMINAL FORRADO TIPO 3M MACHO                    ,80313,1000000,,,0,,8
50830,1, , ,0,0,COLLAR PERRO 1 1/2 EXTRA NATURAL                  ,N               ,1000000,,,0,,4
50831,1, , ,0,0,TERMINAL FORRADO TIPO 3M HEMBR                    ,80314,1000000,,,0,,8
50832,1, , ,0,0,TERM LUCAS MACHO 6.3 ROJO                         ,80315,1000000,,,0,,8
50833,1, ,,0,1480,COLLAR PERRO 3/4 EXTRA NATURAL                    ,Ñ               ,13,,,1,,4
50834,1, , ,0,0,CABLE CARGADOR IPHONE 6 USB                       ,80316,1000000,,,0,,8
50835,1, , ,0,0,CONO COMPRESION 5/8                               ,80317,1000000,,,0,,8
50836,1, , ,0,0,CONO COMPRESION 1/2                               ,80318,1000000,,,0,,8
50837,1, , ,0,0,CONO COMPRESION 3/8                               ,80319,1000000,,,0,,8
50838,1, , ,0,0,18567 SELLADOR TRANSP. BAÑO Y COCINA 85GRS.TR     ,7501206650509,1000000,,,0,,4
50839,1, , ,0,0,"COLLAR PERRO 1 "" EXTRA NATURAL CAFÉ               ",P               ,1000000,,,0,,4
50840,1, , ,0,0,.NIPLE 1/2X3/4 HE                                 ,50680,1000000,,,0,,1
50841,1, , ,0,0,SIKAFLEX CRYSTAL CLEAR 290 ML                     ,7612895209074,1000000,,,0,,4
50842,1, , ,0,0,SOPORTE TRES CLAVELES MAGNETICO ALUMINIO # 1692 - ,8410990016929,1000000,,,0,,4
50843,1, , ,0,0,SOPORTE TRES CLAVELES MAGNETICO ALUMINIO # 1693 - ,8410990016936,1000000,,,0,,4
50844,1, , ,0,0,"BORNE CONEXION MK6 0,5/6MM2 GRIS BIRIEL           ",3462,1000000,,,0,,3
50845,1, , ,0,0,SOPORTE TRES CLAVELES MAGNETICO ALUMINIO # 1694 - ,8410990016943,1000000,,,0,,4
50846,1, , ,0,0,CELDA FOTOELECT SIN BASE CQC 220V 2000W           ,3453,1000000,,,0,,3
50847,1, , ,0,0,"BORNE CONEXION MK4 0,5/4MM2 GRIS BIRIEL           ",3463,1000000,,,0,,3
50848,1,DE VICENTE PLASTICOS S.A.,,0,1680,CELOSIA VENT. PLANA20 X 20 BLANCO                 ,7809890034385,1000000,,,0,,4
50849,1, , ,0,0,ESCUADRA TRIANGULAR BLANCO                        ,80322,1000000,,,0,,8
50850,1, , ,0,0,ESCUADRA TRIANGULAR CAFÉ                          ,80323,1000000,,,0,,8
50851,1, , ,0,0,TOPE PUERTA ESFERICO CAFE                         ,80324,1000000,,,0,,8
50852,1, , ,0,0,ROSETA CUBRE FALLAS 1/2BLANCO                     ,80325,1000000,,,0,,8
50853,1, , ,0,0,TAPA D-MK4 GRIS (PARA BORNE MK4/6/10)             ,3464,1000000,,,0,,3
50854,1, , ,0,9350,BINOCULARES BEEMAN                                ,214148,4,,,0,,20
50855,1, , ,0,0,CAJA GALV A-11 100X100X65MM C/TAPA Y EM           ,3454,1000000,,,0,,3
50856,1, , ,0,0,CONDENSADOR COMAR 10 UF CON CABLE                 ,3455,1000000,,,0,,3
50857,1, , ,0,0,ESMALTE SINTETICO 1/32 BLANCO PRAGA               ,2500000912412,1000000,,,0,,9
50858,1, , ,0,0,VANITORIO SOBREP REDONDO (BOLOÑA)                 ,593,1000000,,,0,,2
50859,1,ELAN S.A.,,0,3980,CONDENSADOR COMAR 5 UF CON TERMINAL               ,3456,1000000,,,1,,3
50860,1, , ,0,0,SWITCH TOGGLE 250VAC 15AMP 2 POSICION             ,3457,1000000,,,0,,3
50861,1, , ,0,0,VANITORIO SOBREPONER(CAPRI) CUADRADO              ,594,1000000,,,0,,2
50862,1, , ,0,0,AMPOLLETA BOLA 5W TRANSP BCO CALIDO E27           ,3557,1000000,,,0,,3
50863,1, , ,0,0,ESMALTE SINTETICO 1/32 NEGRO PRAGA                ,2500000912429,1000000,,,0,,9
50864,1, ,,0,420,PORTALAMPARA E-27 BLANCO EKOLINE                  ,3458,209,,,1,,3
50865,1, , ,0,0,VANITORIO LOZA RIMINI 34*10.5 SIGM 212            ,595,1000000,,,0,,2
50866,1, ,,0,420,PORTALAMPARA E-27 NEGRO EKOLINE                   ,3459,234,,,1,,3
50867,1, , ,0,0,BACHA XIMENA.400X400X135 LATY 212                 ,596,1000000,,,0,,2
50868,1, , ,0,0,AEROSOL ESMALTE AMARILLO REY UN                   ,7805211170503,1000000,,,0,,9
50869,1, , ,0,0,TENSOR PARA CABLE  1/2   GALVANIZADO              ,40152,1000000,,,0,,4
50870,1, , ,0,0,43707 PASADOR CON CADENA LATON HERMEX             ,7501206679487,1000000,,,0,,4
50871,1, , ,0,0,CONTENEDOR 360LITROS C/RUE GRIS V                 ,40153,1000000,,,0,,4
50872,1, , ,0,0,43709 PASADOR CON CADENA CROMO HERMEX             ,7501206679500,1000000,,,0,,4
50873,1, , ,0,0,CADENA DE SEGURIDAD CT BRONCE                     ,7809808009962,1000000,,,0,,4
50874,1, , ,0,0,ASPERSOR ORBIT                                    ,46878942516,1000000,,,0,,4
50875,1, , ,0,0,CATALINA DE MADERA NO 3                           ,20247,1000000,,,0,,20
50876,1, , ,0,0,S-60BL-CU CANDADO CON COBRE LINEA S 60 MM         ,7808719401360,1000000,,,0,,4
50877,1, , ,0,0,PASTA RETAPE WET PROOF RAULI 1/2K                 ,332576,1000000,,,0,,4
50878,1, , ,0,0,CAJA CHICA CON LLAVE 10 X 20 X 30                 ,80326,1000000,,,0,,8
50879,1, , ,0,0,CAJA PORTATIL BASH 80x200x150                     ,80327,1000000,,,0,,8
50880,1, , ,0,0,KIT SAFECOM NVR + 8 CAMARAS BULLET. I             ,C8G050650282    ,1000000,,,0,,4
50881,1, , ,0,0,JGO LLAVE ALLEN 9 BOLA PCS 1.5 - 10MM INGCO (HHK12,6928073675168,1000000,,,0,,4
50882,1, , ,0,0,ADHESIVO PVC TRADICIONAL 250CC VINILIT            ,7805502004715,1000000,,,0,,1
50883,1, , ,0,0,PASTA RETAPE WET PROOF CAOBA 1/2K                 ,163828,1000000,,,0,,4
50884,1, , ,0,0,COMBINACION TINA DUCHA MASTER  H- FULL            ,2500000100956,1000000,,,0,,1
50885,1, , ,0,0,CINTURON DE TRABAJO 15 HERRAMIENTAS               ,476,1000000,,,0,,4
50886,1, , ,0,0,"TENSORES ZINC DE CABLE O+C 5/16"" UYUSTOO          ",6931598205062,1000000,,,0,,4
50887,1, , ,0,0,"ROD CHIPORRO NAT 18CM P LARGO STAN

              ",7809842811231,1000000,,,0,,4
50888,1, , ,0,0,PASTA RETAPE WET PROOF PINO OREGON 1/2K           ,346108,1000000,,,0,,4
50889,1, , ,0,0,AMPOLLETA VELA LED E14 EMP AC220-240V 5W 3000K    ,265434800530,1000000,,,0,,3
50890,1, , ,0,0,"CIF CREMA ORIG MICROPARTICULAS 12X750GR

         ",7791290010789,1000000,,,0,,8
50891,1, , ,0,0,PASTA RETAPE WET PROOF ALERCE 1/2K                ,54409,1000000,,,0,,4
50892,1, , ,0,0,PASTA RETAPE WET PROOF BLANCA 1/2K                ,54331,1000000,,,0,,4
50893,1, , ,0,0,ARTICOLL ADHESIVO 60 GALON                        ,7805218010086,1000000,,,0,,4
50894,1, , ,0,0,ARTICOLL ADHESIVO 125 GALON                       ,7805218030084,1000000,,,0,,4
50895,1, ,,0,4520,"RODILLO HELA CHIPORRO 9 PELO LARGO

              ",7809839006350,58,,,1,,4
50896,1, , ,0,0,"ROD CHIPORRO NAT 23CM P LARGO STAN

              ",7809842811255,1000000,,,0,,4
50897,1, , ,0,0,ARTICOLL ADHESIVO 60 LITRO                        ,7805218010048,1000000,,,0,,4
50898,1, ,,0,2120,ARTICOLL ADHESIVO 60 1/16GLN TARR                 ,7805218010024,17,,,0,,4
50899,1, ,,0,9980,EXTINTOR 2 KGS P/INT.PQS                          ,40154,18,,,1,,4
50900,1, , ,0,0,PLACA 2 MOD AL TITANIO MATIX                      ,8012199848068,1000000,,,0,,3
50901,1, , ,0,0,ARTICOLL ADHESIVO 60 1/32GLN TARR                 ,7805218010017,1000000,,,0,,4
50902,1, , ,0,0,TOLDO GRUESO VERDE                                ,40155,1000000,,,0,,4
